pregunta,respuesta_correcta,valor
¿Cuál es la capital de España?,Madrid,5
¿Cuál es el planeta más grande del sistema solar?,Júpiter,5
¿En qué año se descubrió América?,1492,5
¿Cuál es el río más largo del mundo?,Nilo,5
¿En qué país se originó el café?,Etiopía,5
¿Cuál es la montaña más alta del mundo?,Everest,5
¿Cuál es el océano más grande?,Pacífico,5
¿Cuál es la ciudad más poblada del mundo?,Tokio,5
¿En qué año terminó la Segunda Guerra Mundial?,1945,5
¿Cuál es el país más grande por superficie?,Rusia,5